index,Tair,RH,Wind,SolRad,Rain,Tsoil
2008-09-01 00:00:00,24.0,84.0,5.3,0.0,0.0,24.2
2008-09-01 01:00:00,24.0,85.0,5.5,0.0,0.0,24.1
2008-09-01 02:00:00,24.5,85.0,5.6,0.0,0.0,24.6
2008-09-01 03:00:00,24.8,83.0,4.8,0.0,0.0,24.7
2008-09-01 04:00:00,24.8,83.0,5.4,0.0,0.0,24.7
2008-09-01 05:00:00,24.7,86.0,5.1,0.0,0.0,25.0
2008-09-01 06:00:00,23.4,89.0,6.5,0.0,0.3,23.5
2008-09-01 07:00:00,23.2,90.0,5.8,0.0,0.7,23.5
2008-09-01 08:00:00,23.2,88.0,6.0,41.7,0.5,23.5
2008-09-01 09:00:00,22.2,90.0,1.7,58.379999999999995,0.0,24.0
2008-09-01 10:00:00,22.6,91.0,4.8,77.84,1.5,25.0
2008-09-01 11:00:00,23.6,87.0,1.6,166.79999999999998,0.0,27.5
2008-09-01 12:00:00,24.2,80.0,7.5,250.2,0.0,28.1
2008-09-01 13:00:00,24.8,77.0,7.8,358.62,0.0,28.5
2008-09-01 14:00:00,25.1,72.0,7.4,644.9599999999999,0.0,32.6
2008-09-01 15:00:00,25.3,72.0,8.3,700.5600000000001,0.0,36.1
2008-09-01 16:00:00,24.9,73.0,8.7,592.14,0.0,34.3
2008-09-01 17:00:00,24.5,78.0,7.8,394.76,0.0,29.3
2008-09-01 18:00:00,24.4,80.0,6.7,97.3,0.0,26.0
2008-09-01 19:00:00,23.6,86.0,4.4,13.9,0.0,24.3
2008-09-01 20:00:00,23.4,88.0,3.8,0.0,0.0,24.3
2008-09-01 21:00:00,23.4,89.0,2.6,0.0,0.0,23.8
2008-09-01 22:00:00,22.9,90.0,2.8,0.0,0.0,23.1
2008-09-01 23:00:00,24.0,88.0,11.7,0.0,0.0,23.5
2008-09-02 00:00:00,23.2,88.0,13.8,0.0,0.0,23.3
2008-09-02 01:00:00,22.8,86.0,14.4,0.0,0.0,22.7
2008-09-02 02:00:00,23.0,82.0,14.8,0.0,0.0,22.4
2008-09-02 03:00:00,22.8,83.0,14.3,0.0,0.0,22.3
2008-09-02 04:00:00,22.8,84.0,13.7,0.0,0.1,22.1
2008-09-02 05:00:00,22.4,85.0,13.7,0.0,0.0,22.2
2008-09-02 06:00:00,22.6,85.0,14.6,0.0,0.4,21.7
2008-09-02 07:00:00,22.2,84.0,13.6,2.78,0.0,21.9
2008-09-02 08:00:00,22.8,81.0,12.9,86.17999999999999,0.0,24.1
2008-09-02 09:00:00,23.7,78.0,12.6,189.04,0.0,26.0
2008-09-02 10:00:00,22.9,81.0,13.8,197.38,0.0,25.4
2008-09-02 11:00:00,23.6,77.0,14.1,378.08,0.0,30.6
2008-09-02 12:00:00,23.9,77.0,14.0,617.1600000000001,0.0,35.2
2008-09-02 13:00:00,24.0,75.0,13.1,811.76,0.0,39.6
2008-09-02 14:00:00,24.1,74.0,14.0,861.8000000000001,0.0,43.9
2008-09-02 15:00:00,23.1,77.0,13.5,675.5400000000001,0.0,34.5
2008-09-02 16:00:00,22.3,83.0,13.1,400.32,0.0,30.7
2008-09-02 17:00:00,23.1,80.0,12.4,278.0,0.0,31.0
2008-09-02 18:00:00,22.7,75.0,11.8,136.22,0.0,26.4
2008-09-02 19:00:00,22.8,75.0,13.0,33.36,0.0,24.4
2008-09-02 20:00:00,22.9,75.0,11.8,0.0,0.0,23.6
2008-09-02 21:00:00,22.9,75.0,11.3,0.0,0.0,23.2
2008-09-02 22:00:00,22.5,75.0,11.8,0.0,0.0,22.8
2008-09-02 23:00:00,22.3,75.0,10.0,0.0,0.0,22.5
2008-09-03 00:00:00,22.2,79.0,11.7,0.0,0.0,22.6
2008-09-03 01:00:00,22.3,81.0,11.0,0.0,0.0,22.4
2008-09-03 02:00:00,22.5,81.0,11.9,0.0,0.0,21.8
2008-09-03 03:00:00,22.3,81.0,10.5,0.0,0.0,21.4
2008-09-03 04:00:00,22.2,83.0,9.7,0.0,0.0,21.3
2008-09-03 05:00:00,22.3,83.0,9.8,0.0,0.0,22.0
2008-09-03 06:00:00,22.2,86.0,8.8,0.0,0.0,21.7
2008-09-03 07:00:00,22.5,85.0,7.2,25.02,0.0,22.4
2008-09-03 08:00:00,22.9,83.0,4.7,102.86,0.0,24.8
2008-09-03 09:00:00,23.0,81.0,5.6,289.12,0.0,29.3
2008-09-03 10:00:00,23.0,80.0,7.3,517.08,0.0,33.2
2008-09-03 11:00:00,23.4,80.0,6.7,686.6600000000001,0.0,41.8
2008-09-03 12:00:00,23.9,78.0,7.2,892.38,0.0,47.8
2008-09-03 13:00:00,23.6,79.0,7.6,831.22,0.0,42.0
2008-09-03 14:00:00,24.1,76.0,6.8,792.3000000000001,0.0,47.6
2008-09-03 15:00:00,24.3,72.0,6.8,822.88,0.0,47.8
2008-09-03 16:00:00,24.3,73.0,6.4,678.3199999999999,0.0,43.1
2008-09-03 17:00:00,24.2,74.0,5.8,494.84,0.0,35.9
2008-09-03 18:00:00,24.2,74.0,4.1,275.21999999999997,0.0,28.6
2008-09-03 19:00:00,23.2,79.0,2.8,52.82,0.0,25.0
2008-09-03 20:00:00,22.8,79.0,2.2,0.0,0.0,24.2
2008-09-03 21:00:00,22.9,79.0,2.1,0.0,0.0,22.7
2008-09-03 22:00:00,23.0,79.0,2.2,0.0,0.0,22.3
2008-09-03 23:00:00,22.7,80.0,2.0,0.0,0.0,21.4
2008-09-04 00:00:00,21.9,83.0,2.4,0.0,0.0,20.4
2008-09-04 01:00:00,21.8,83.0,3.7,0.0,0.0,20.5
2008-09-04 02:00:00,21.5,73.0,3.4,0.0,0.0,19.7
2008-09-04 03:00:00,20.9,70.0,3.9,0.0,0.0,18.6
2008-09-04 04:00:00,22.0,70.0,1.6,0.0,0.0,18.7
2008-09-04 05:00:00,22.2,67.0,0.9,0.0,0.0,18.3
2008-09-04 06:00:00,22.4,72.0,2.7,0.0,0.0,18.6
2008-09-04 07:00:00,22.8,72.0,2.1,38.92,0.0,20.0
2008-09-04 08:00:00,22.4,69.0,1.3,216.84,0.0,25.6
2008-09-04 09:00:00,25.0,65.0,2.5,439.24,0.0,34.2
2008-09-04 10:00:00,24.1,69.0,2.7,575.4599999999999,0.0,38.4
2008-09-04 11:00:00,25.2,66.0,2.5,797.86,0.0,47.9
2008-09-04 12:00:00,27.7,65.0,3.8,878.48,0.0,53.7
