time,initial_leaf_ratio,potential_leaf_area_increase (cm²),shoot_carbon (g d⁻¹),root_carbon (g d⁻¹),leaf_carbon (g d⁻¹),sheath_carbon (g d⁻¹),scape_carbon (g d⁻¹),bulb_carbon (g d⁻¹),nonstructural_carbon_mass (g),agefn,initial_seed_mass (g),seed_mass_export_limit (% d⁻¹),seed_mass_export_rate (g d⁻¹),seed_mass (g),total_sheath_mass (g),initial_leaf_mass (g),active_leaf_mass (g),dropped_leaf_mass (g),total_leaf_mass (g),root_mass (g),leaf_mass (g),sheath_mass (g),scape_mass (g),visible_scape_mass (g),bulb_structural_mass (g),bulb_mass (g),stalk_mass (g),shoot_mass (g),total_mass (g),living_root_mass (g),living_leaf_mass (g),living_sheath_mass (g),living_stalk_mass (g),living_shoot_mass (g),living_total_mass (g),potential_carbon_demand (g),PD (m⁻²),leaf_area (cm²),green_leaf_area (cm²),green_leaf_ratio,LAI,actual_green_leaf_area (cm²),senescent_leaf_area (cm²),potential_leaf_area (cm²),dropped_leaf_area (cm²),leaves_initiated,leaves_appeared,leaves_growing,leaves_mature,leaves_dropped,leaves_fresh,primordia,shoot_to_root_ratio,root_to_shoot_ratio,leaf_to_stem_ratio,stem_to_leaf_ratio,C_to_CH2O_ratio,assimilation (g d⁻¹),dp,C_conc,carbon_reserve_from_seed (g d⁻¹),carbon_reserve (g),carbon_translocation (g d⁻¹),carbon_pool (g),nonstructural_carbon (g),carbon_supply (g d⁻¹),carbon_temperature_effect,carbon_growth_factor (hr⁻¹),carbon_translocating,carbon_translocation_rate (hr⁻¹),carbon_supply_rate (hr⁻¹),Rm (d⁻¹),maintenance_respiration (g d⁻¹),carbon_available (g d⁻¹),Yg,total_carbon (g d⁻¹),water_supply (g hr⁻¹),CO2_weight (g mol⁻¹),C_weight (g mol⁻¹),CH2O_weight (g mol⁻¹),H2O_weight (g mol⁻¹),CH2O_to_C_ratio,PD0 (m⁻²),CDSF (K⁻¹),CDCT (°C),enable_cold_damage,CDM (d⁻¹),CDS,leaf_width (cm),LWP (MPa),evapotranspiration_supply (mol m⁻² s⁻¹),LAI_sunlit,LAI_shaded,Q_sun (μmol m⁻² s⁻¹),Q_sh (μmol m⁻² s⁻¹),A_gross (μmol m⁻² s⁻¹),A_net (μmol m⁻² s⁻¹),ET (mmol m⁻² s⁻¹),gross_assimilation (g d⁻¹),net_assimilation (g d⁻¹),transpiration (g d⁻¹),vapor_pressure_deficit (kPa),conductance (mol bar⁻¹ m⁻² s⁻¹),dry_yield (g m⁻²),fresh_yield (g m⁻²),BMC,SLA (cm² g⁻¹),LMA (g cm⁻²),DAP (d),date
2014-09-01T01:00:00.000+09:00,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,10.0,0.027499866965600233,0.275,0.0,0.03465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.275,0.0,0.0,0.0,0.0,0.275,0.275,0.0,55.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0,seed,0.45,0.030941729223090516,0.0,0.0,0.0,0.0,0.0,0.999995162385463,0.2,false,0.0,0.1999990324770926,0.015,0.0,0.0,0.75,0.0,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.5,0.9,-15.0,true,2.7559890911101433e-15,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.5231070824914543,0.0,0.0,0.0,0.85,NaN,NaN,0,2014-09-01
2014-09-01T11:00:00.000+09:00,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011458277902333428,0.0,0.275,10.0,0.026300589520608934,0.2635417220976666,0.0,0.03465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011458277902333428,0.0,0.275,0.275,0.0,0.0,0.0,0.0,0.2635417220976666,0.275,0.0,55.499999999999936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0,seed,0.45,0.02959235113290925,0.012892387176287714,0.0,0.0,0.012892387176287714,0.0,0.9979668232896395,0.2,false,0.0,0.1995933646579279,0.015,0.0,0.0,0.75,0.0,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.5,0.9,-15.0,true,1.5492584466124251e-15,0.9999999999999989,1.5,0.0,0.0,0.0,0.0,132.82060460015904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4824809280443396,0.0,0.6359344235795045,4.239562823863363,0.85,NaN,NaN,0,2014-09-01
2014-09-01T21:00:00.000+09:00,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022416856869253814,0.0,0.275,10.0,0.023959319235970146,0.2525831431307462,0.0,0.03465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022416856869253814,0.0,0.275,0.275,0.0,0.0,0.0,0.0,0.2525831431307462,0.275,0.0,55.4999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0,seed,0.45,0.026958049255159048,0.025222533481666566,0.0,0.0,0.025222533481666566,0.0,0.9485715847461733,0.2,false,0.0,0.18971431694923468,0.015,0.0,0.0,0.75,0.0,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.5,0.9,-15.0,true,1.8355817989527985e-16,0.9999999999999982,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.7974081077219601,0.0,1.2441355562435845,8.294237041623896,0.85,NaN,NaN,0,2014-09-01
2014-09-02T07:00:00.000+09:00,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03239990655090804,0.0,0.275,10.0,0.02409461297171809,0.24260009344909197,0.0,0.03465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03239990655090804,0.0,0.275,0.275,0.0,0.0,0.0,0.0,0.24260009344909197,0.275,0.0,55.49999999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0,seed,0.45,0.027110276251105236,0.036455054004649504,0.0,0.0,0.036455054004649504,0.0,0.9931823450337699,0.2,false,0.0,0.198636469006754,0.015,0.0,0.0,0.75,0.0,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.5,0.9,-15.0,true,9.878507996978983e-16,0.9999999999999981,1.5,0.0,0.0,0.0,0.0,0.5176883706336589,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.4024307935058763,0.0,1.798194813575393,11.98796542383595,0.85,NaN,NaN,0,2014-09-02
2014-09-02T17:00:00.000+09:00,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042439328622457244,0.0,0.275,10.0,0.021787553030333754,0.23256067137754277,0.0,0.03465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042439328622457244,0.0,0.275,0.275,0.0,0.0,0.0,0.0,0.23256067137754277,0.275,0.0,55.49999999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0,seed,0.45,0.024514466456932473,0.04775100244261002,0.0,0.0,0.04775100244261002,0.0,0.9368545808402612,0.2,false,0.0,0.18737091616805224,0.015,0.0,0.0,0.75,0.0,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.5,0.9,-15.0,true,1.3886908765230677e-16,0.9999999999999977,1.5,0.0,0.0,0.0,0.0,224.94418003882535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5502244133932636,0.0,2.3553827385463717,15.702551590309142,0.85,NaN,NaN,0,2014-09-02
2014-09-03T03:00:00.000+09:00,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051517475718429635,0.0,0.275,10.0,0.020954823491404297,0.22348252428157037,0.0,0.03465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051517475718429635,0.0,0.275,0.275,0.0,0.0,0.0,0.0,0.22348252428157037,0.275,0.0,55.499999999999865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0,seed,0.45,0.023577513127599817,0.05796536346633188,0.0,0.0,0.05796536346633188,0.0,0.9376493110039722,0.2,false,0.0,0.18752986220079446,0.015,0.0,0.0,0.75,0.0,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.5,0.9,-15.0,true,1.413913636126079e-16,0.9999999999999976,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.4252636433529505,0.0,2.8592199023728377,19.061466015818915,0.85,NaN,NaN,0,2014-09-03
2014-09-03T13:00:00.000+09:00,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060248652173181434,0.0,0.275,10.0,0.0188294757965994,0.21475134782681857,0.0,0.03465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060248652173181434,0.0,0.275,0.275,0.0,0.0,0.0,0.0,0.21475134782681857,0.275,0.0,55.49999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0,seed,0.45,0.021186158545418207,0.06778932726949848,0.0,0.0,0.06778932726949848,0.0,0.8768036143728425,0.2,false,0.0,0.1753607228745685,0.015,0.0,0.0,0.75,0.0,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.5,0.9,-15.0,true,4.549178107348972e-17,0.9999999999999974,1.5,0.0,0.0,0.0,0.0,136.15640752195264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.704825711622184,0.0,3.343800195611561,22.292001304077072,0.85,NaN,NaN,0,2014-09-03
2014-09-03T23:00:00.000+09:00,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06809426708843118,0.0,0.275,10.0,0.020405125963288688,0.20690573291156883,0.0,0.03465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06809426708843118,0.0,0.275,0.275,0.0,0.0,0.0,0.0,0.20690573291156883,0.275,0.0,55.49999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0,seed,0.45,0.022959015878473793,0.07661689333008939,0.0,0.0,0.07661689333008939,0.0,0.986203991361119,0.2,false,0.0,0.19724079827222382,0.015,0.0,0.0,0.75,0.0,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.5,0.9,-15.0,true,6.529703183091069e-16,0.9999999999999974,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.3753201621579501,0.0,3.7792318234079207,25.194878822719467,0.85,NaN,NaN,0,2014-09-03
2014-09-04T09:00:00.000+09:00,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07659640290646813,0.0,0.275,10.0,0.019714793945943665,0.19840359709353186,0.0,0.03465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07659640290646813,0.0,0.275,0.275,0.0,0.0,0.0,0.0,0.19840359709353186,0.275,0.0,55.499999999999844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0,seed,0.45,0.022182282435310632,0.08618314994612014,0.0,0.0,0.08618314994612014,0.0,0.9936711952177799,0.2,false,0.0,0.198734239043556,0.015,0.0,0.0,0.75,0.0,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.5,0.9,-15.0,true,1.0240613069675618e-15,0.9999999999999972,1.5,0.0,0.0,0.0,0.0,54.23213843707669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3899900940494601,0.0,4.2511003613089695,28.340669075393127,0.85,NaN,NaN,0,2014-09-04
2014-09-04T19:00:00.000+09:00,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08481090038394466,0.0,0.275,10.0,0.017029874330457006,0.19018909961605535,0.0,0.03465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08481090038394466,0.0,0.275,0.275,0.0,0.0,0.0,0.0,0.19018909961605535,0.275,0.0,55.49999999999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0,0,0,0,5,0.7,0.30000000000000004,0.9,0.09999999999999998,2.500353851149392,0.0,seed,0.45,0.019161320340036758,0.09542576762749957,0.0,0.0,0.09542576762749957,0.0,0.8954180005497739,0.2,false,0.0,0.1790836001099548,0.015,0.0,0.0,0.75,0.0,0.0,44.0098,12.0107,30.031,18.01528,0.3999433918284439,55.5,0.9,-15.0,true,6.177703379114917e-17,0.9999999999999968,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,1.0086460623990783,0.0,4.707004971308914,31.38003314205942,0.85,NaN,NaN,0,2014-09-04
