tep, dry_yield
1,1166.858628458274
2,1192.9655952389458
3,1224.9889560421004
4,1279.3088903592675
5,1323.6755599793487
6,1345.909829662305
7,1525.4196759591277
8,1428.790535046985
9,1854.6236269904068
10,2123.2447549533636
11,2362.0574566791042
12,2782.591266069361
13,2862.5990764482735
14,2594.3576367678284
15,2503.474508825585
16,2599.107528737484
17,2895.160101506605
18,3347.779787219634
19,3283.0861778742824
20,3300.7847982300086
21,3515.4093063670352
22,3544.071343663878
23,3851.6577058233856
24,4669.958650167369
25,4439.096795412411
26,4357.785600223924
27,4369.858188860519
28,5140.060007270845
29,4394.55119877757
30,6069.5404325232175
31,5622.189376771519
32,5644.939640796254
33,5303.833363793553
34,6140.742493428139
35,6455.595222761814
36,8172.628999565875
37,6510.157916079662
38,7002.582543036287
39,7010.346515554484
40,7558.367031245652
41,7593.572009190429
42,8437.516362521208
43,8565.340982345388
44,8215.879629197592
45,9045.502534201656
46,8973.96996848407
47,9215.592465607311
48,10220.357382906837
49,8912.320317104251
50,9510.999138924786
51,9534.767757025436
52,9647.329161697986
53,9925.228357098058
54,10895.590917562224
55,10416.986577340516
56,10749.653335769803
57,11332.787954174946
58,10961.059416702132
59,11649.567003497647
60,14294.764751046432
61,11778.096782665123
62,11822.086009419381
63,12103.561086362304
64,12437.791229060804
65,12914.377734557014
66,12827.56336711749
67,13542.38992908303
68,13911.801258801199
69,14195.795487212352
70,13670.003661966828
71,13544.550495798214
72,16884.573466084887
73,14570.875389942981
74,14790.668325685841
75,14189.975905928453
76,15357.047819276488
77,15801.21663782371
78,15848.924916862232
79,15642.452188794354
80,16621.6796247858
81,16229.484886224176
82,16647.62779951147
83,16869.602995469668
84,20978.416713883787
85,16021.577969731214
86,18439.071616888807
87,17854.40935405024
88,18668.837223749553
89,19139.436422459323
90,19282.908481443978
91,18540.997365113242
92,21124.397697106153
93,19439.54565370118
94,19611.35869925404
95,20235.25749491953
96,23677.370446768397
97,17572.30411784365
98,20595.653516507064
99,20812.549263000303
100,22711.511544943845
101,21987.458791943955
102,20083.052874511435
103,22341.947226650675
104,21373.27632178161
105,21742.150689252983
106,22470.101064172602
107,20388.193176636458
108,28694.01481469388
109,22946.318462556635
110,24919.15555802397
111,22872.094226636764
112,23957.53215504753
113,24704.727775578463
114,25500.655123706318
115,23748.536931787585
116,26012.869402256412
117,27541.035782476964
118,23817.324775469955
119,24870.225197927273
120,28159.221463473586
121,23139.253602891873
122,28212.452277802306
123,27137.864217032922
124,24617.97223667687
125,28937.522247137204
126,27171.318008420047
127,28513.62508487332
128,29991.745794350056
129,28935.12713890528
130,28626.752893998935
131,26962.288016884413
132,33642.1420360794
133,25139.920652616198
134,30493.618502896385
135,30352.70997297379
136,30196.6816521934
137,29025.55273064387
138,28574.886089273696
139,33106.716445964455
140,32934.670315375
141,29352.698739987012
142,33687.19457810634
143,29403.448784133037
144,36895.88691489572
145,29587.01342223003
146,33000.704664926314
147,34122.202306371866
148,36429.63960025616
149,34903.23894141207
150,29026.166293943916
151,36251.32538542371
152,33850.77001197225
153,35383.26353472383
154,39426.07530282778
155,43687.76283588203
156,36781.19935738462
157,35969.04114892525
158,32182.12380292995
159,38244.34890443067
160,32397.342606065275
161,41117.85637418115
162,41853.55453328384
163,40044.57556662795
164,42428.61827277635
165,40530.821258965836
166,36539.72551016591
167,38017.65327058851
168,44079.45724489995
