index,Tair,RH,Wind,SolRad,Rain,Tsoil
2007-09-01 00:00:00,24.6,82.0,2.6,0.0,0.0,26.35
2007-09-01 01:00:00,24.2,85.0,3.2,0.0,0.0,25.966666666666665
2007-09-01 02:00:00,24.2,84.0,2.9,0.0,0.0,25.583333333333332
2007-09-01 03:00:00,24.2,82.0,3.1,0.0,0.0,25.2
2007-09-01 04:00:00,23.8,83.0,3.7,0.0,0.0,25.45
2007-09-01 05:00:00,25.1,81.0,4.6,0.0,0.0,25.7
2007-09-01 06:00:00,25.0,85.0,4.2,0.0,0.0,25.95
2007-09-01 07:00:00,25.3,84.0,4.8,13.9,0.1,26.2
2007-09-01 08:00:00,26.2,83.0,5.9,52.82,0.0,26.45
2007-09-01 09:00:00,26.7,84.0,8.5,72.28,0.0,26.7
2007-09-01 10:00:00,26.5,82.0,8.1,63.940000000000005,0.3,27.116666666666667
2007-09-01 11:00:00,27.5,81.0,9.2,161.23999999999998,0.1,27.53333333333333
2007-09-01 12:00:00,27.7,79.0,10.0,200.16,0.0,27.95
2007-09-01 13:00:00,27.8,80.0,8.6,214.06,0.0,28.366666666666667
2007-09-01 14:00:00,27.6,83.0,8.2,127.88,0.0,28.78333333333333
2007-09-01 15:00:00,27.6,84.0,9.0,158.45999999999998,0.0,29.2
2007-09-01 16:00:00,27.2,80.0,9.5,164.01999999999998,0.0,28.78333333333333
2007-09-01 17:00:00,27.2,85.0,7.4,155.68,0.0,28.366666666666667
2007-09-01 18:00:00,27.2,82.0,9.9,105.64,0.0,27.95
2007-09-01 19:00:00,27.3,81.0,13.4,19.46,0.0,27.53333333333333
2007-09-01 20:00:00,27.2,83.0,11.6,0.0,0.0,27.116666666666667
2007-09-01 21:00:00,27.2,83.0,10.5,0.0,0.0,26.7
2007-09-01 22:00:00,26.7,83.0,12.0,0.0,1.0,26.28333333333333
2007-09-01 23:00:00,26.5,85.0,12.2,0.0,0.0,25.866666666666667
2007-09-02 00:00:00,24.8,89.0,8.1,0.0,0.0,25.45
2007-09-02 01:00:00,24.2,86.0,8.5,0.0,0.0,25.03333333333333
2007-09-02 02:00:00,23.5,84.0,8.0,0.0,0.0,24.616666666666667
2007-09-02 03:00:00,23.6,82.0,8.7,0.0,0.0,24.2
2007-09-02 04:00:00,23.1,82.0,10.5,0.0,0.0,25.03333333333333
2007-09-02 05:00:00,23.2,82.0,11.5,0.0,0.0,25.866666666666667
2007-09-02 06:00:00,23.1,79.0,10.5,0.0,0.0,26.7
2007-09-02 07:00:00,23.0,80.0,10.3,19.46,0.0,27.53333333333333
2007-09-02 08:00:00,23.2,79.0,8.5,97.3,0.0,28.366666666666667
2007-09-02 09:00:00,25.8,72.0,7.6,355.84000000000003,0.0,29.2
2007-09-02 10:00:00,26.0,71.0,9.5,480.94,0.0,30.816666666666663
2007-09-02 11:00:00,26.2,65.0,10.5,611.6,0.0,32.43333333333333
2007-09-02 12:00:00,24.8,71.0,9.8,845.12,0.0,34.05
2007-09-02 13:00:00,25.7,67.0,10.6,864.5799999999999,0.0,35.666666666666664
2007-09-02 14:00:00,25.2,69.0,9.6,770.0600000000001,0.0,37.28333333333333
2007-09-02 15:00:00,25.0,69.0,10.0,647.74,0.0,38.9
2007-09-02 16:00:00,24.3,72.0,10.3,414.22,0.0,36.6
2007-09-02 17:00:00,24.2,72.0,9.3,375.3,0.0,34.3
2007-09-02 18:00:00,23.7,74.0,8.1,100.08,0.0,32.0
2007-09-02 19:00:00,23.5,76.0,8.1,38.92,0.0,29.700000000000003
2007-09-02 20:00:00,23.6,75.0,7.0,0.0,0.0,27.4
2007-09-02 21:00:00,23.3,75.0,7.7,0.0,0.0,25.1
2007-09-02 22:00:00,23.0,77.0,6.8,0.0,0.0,24.666666666666668
2007-09-02 23:00:00,23.0,75.0,7.8,0.0,0.0,24.233333333333334
2007-09-03 00:00:00,22.7,76.0,6.1,0.0,0.0,23.8
2007-09-03 01:00:00,22.6,78.0,5.9,0.0,0.0,23.366666666666667
2007-09-03 02:00:00,22.6,79.0,4.7,0.0,0.0,22.933333333333337
2007-09-03 03:00:00,22.7,79.0,5.7,0.0,0.0,22.5
2007-09-03 04:00:00,22.8,76.0,5.2,0.0,0.0,23.366666666666667
2007-09-03 05:00:00,22.7,78.0,4.7,0.0,0.0,24.233333333333334
2007-09-03 06:00:00,23.1,75.0,6.5,0.0,0.0,25.1
2007-09-03 07:00:00,23.6,75.0,4.4,50.04,0.0,25.966666666666665
2007-09-03 08:00:00,24.5,72.0,4.9,230.74,0.0,26.833333333333332
2007-09-03 09:00:00,24.7,74.0,5.8,394.76,0.0,27.7
2007-09-03 10:00:00,25.2,70.0,6.6,636.62,0.0,29.95
2007-09-03 11:00:00,24.1,73.0,6.8,783.9599999999999,0.0,32.2
2007-09-03 12:00:00,24.5,68.0,6.4,825.6600000000001,0.0,34.45
2007-09-03 13:00:00,24.8,70.0,6.0,895.1600000000001,0.0,36.7
2007-09-03 14:00:00,24.8,66.0,7.3,831.22,0.0,38.95
2007-09-03 15:00:00,24.3,69.0,7.3,753.38,0.0,41.2
2007-09-03 16:00:00,24.5,70.0,7.9,603.26,0.0,38.53333333333334
2007-09-03 17:00:00,23.7,74.0,6.1,286.34000000000003,0.0,35.86666666666667
2007-09-03 18:00:00,23.2,76.0,5.1,189.04,0.0,33.2
2007-09-03 19:00:00,23.0,77.0,2.3,33.36,0.0,30.53333333333333
2007-09-03 20:00:00,23.0,78.0,2.9,0.0,0.0,27.866666666666667
2007-09-03 21:00:00,23.1,78.0,2.2,0.0,0.0,25.2
2007-09-03 22:00:00,22.1,82.0,2.0,0.0,0.0,25.016666666666666
2007-09-03 23:00:00,22.7,79.0,2.1,0.0,0.0,24.833333333333332
2007-09-04 00:00:00,22.3,84.0,2.3,0.0,0.0,24.65
2007-09-04 01:00:00,22.6,83.0,3.0,0.0,0.0,24.46666666666667
2007-09-04 02:00:00,22.3,84.0,2.8,0.0,0.0,24.283333333333335
2007-09-04 03:00:00,22.6,83.0,3.9,0.0,0.0,24.1
2007-09-04 04:00:00,22.6,81.0,4.9,0.0,0.0,24.133333333333333
2007-09-04 05:00:00,22.1,84.0,4.9,0.0,0.5,24.166666666666668
2007-09-04 06:00:00,22.2,85.0,4.5,0.0,0.0,24.200000000000003
2007-09-04 07:00:00,22.3,83.0,4.7,13.9,0.0,24.233333333333334
2007-09-04 08:00:00,22.7,83.0,3.6,58.379999999999995,0.0,24.266666666666666
2007-09-04 09:00:00,23.3,82.0,2.7,61.16,0.0,24.3
2007-09-04 10:00:00,23.8,76.0,1.5,72.28,0.0,24.45
2007-09-04 11:00:00,24.2,76.0,1.6,133.44,0.0,24.6
2007-09-04 12:00:00,25.1,80.0,1.7,141.78,0.0,24.75
2007-09-04 13:00:00,24.2,88.0,3.7,133.44,0.0,24.9
2007-09-04 14:00:00,24.0,89.0,3.3,147.34,0.5,25.05
2007-09-04 15:00:00,22.7,91.0,6.2,61.16,0.0,25.2
2007-09-04 16:00:00,22.0,93.0,5.6,30.58,3.0,24.78333333333333
2007-09-04 17:00:00,21.6,93.0,7.0,41.7,1.5,24.366666666666667
2007-09-04 18:00:00,21.5,94.0,6.7,25.02,3.0,23.95
2007-09-04 19:00:00,21.3,94.0,7.2,5.5600000000000005,1.0,23.53333333333333
2007-09-04 20:00:00,21.5,94.0,6.3,0.0,0.0,23.116666666666667
2007-09-04 21:00:00,21.6,93.0,6.1,0.0,0.5,22.7
2007-09-04 22:00:00,21.8,91.0,5.7,0.0,0.0,22.7
2007-09-04 23:00:00,22.0,92.0,4.3,0.0,0.5,22.7
2007-09-05 00:00:00,22.0,92.0,4.8,0.0,0.0,22.7
2007-09-05 01:00:00,22.2,92.0,5.5,0.0,0.5,22.7
2007-09-05 02:00:00,22.0,94.0,5.3,0.0,3.5,22.7
2007-09-05 03:00:00,22.2,95.0,4.7,0.0,5.5,22.7
2007-09-05 04:00:00,22.2,95.0,3.8,0.0,9.5,22.78333333333333
2007-09-05 05:00:00,22.2,95.0,5.2,0.0,9.0,22.866666666666667
2007-09-05 06:00:00,22.2,95.0,4.2,0.0,4.0,22.95
2007-09-05 07:00:00,22.3,95.0,3.7,16.68,1.5,23.03333333333333
2007-09-05 08:00:00,22.1,95.0,3.7,5.5600000000000005,6.5,23.116666666666667
2007-09-05 09:00:00,22.8,95.0,3.2,33.36,5.5,23.2
2007-09-05 10:00:00,22.8,95.0,3.4,61.16,1.0,24.366666666666667
2007-09-05 11:00:00,25.3,92.0,4.4,227.96,0.0,25.53333333333333
2007-09-05 12:00:00,25.3,93.0,4.4,255.76,0.5,26.7
2007-09-05 13:00:00,24.7,95.0,5.1,166.79999999999998,10.5,27.866666666666667
2007-09-05 14:00:00,26.0,92.0,9.0,283.56,3.0,29.03333333333333
2007-09-05 15:00:00,27.0,90.0,6.4,380.86,0.0,30.2
2007-09-05 16:00:00,24.7,90.0,3.1,169.57999999999998,2.5,29.133333333333333
2007-09-05 17:00:00,25.5,89.0,3.9,391.98,12.0,28.066666666666663
2007-09-05 18:00:00,25.3,88.0,1.8,227.96,0.0,27.0
2007-09-05 19:00:00,23.0,94.0,12.3,52.82,0.0,25.933333333333337
2007-09-05 20:00:00,23.2,94.0,12.6,0.0,0.0,24.866666666666667
2007-09-05 21:00:00,23.2,92.0,6.4,0.0,0.0,23.8
2007-09-05 22:00:00,23.2,90.0,6.9,0.0,0.0,23.666666666666668
2007-09-05 23:00:00,23.0,91.0,7.0,0.0,0.0,23.533333333333335
2007-09-06 00:00:00,22.7,95.0,5.6,0.0,0.0,23.4
2007-09-06 01:00:00,22.6,94.0,5.3,0.0,0.0,23.266666666666666
2007-09-06 02:00:00,23.2,93.0,5.2,0.0,0.0,23.133333333333333
2007-09-06 03:00:00,23.2,92.0,5.9,0.0,0.0,23.0
2007-09-06 04:00:00,23.1,92.0,6.0,0.0,0.0,23.03333333333333
2007-09-06 05:00:00,23.0,93.0,5.2,0.0,0.0,23.066666666666663
2007-09-06 06:00:00,23.0,92.0,9.1,0.0,0.0,23.1
2007-09-06 07:00:00,22.5,93.0,13.0,25.02,0.0,23.133333333333333
2007-09-06 08:00:00,21.6,94.0,14.1,52.82,0.0,23.166666666666664
2007-09-06 09:00:00,21.5,94.0,14.8,94.52,0.0,23.2
